race,sex,LSAT,UGPA,ZFYA,rank
White,Male,37.5,4.0,3.48,1
White,Male,36.0,3.0,3.25,2
White,Male,44.0,4.0,3.17,3
White,Male,40.0,2.8,3.11,4
White,Female,44.0,3.8,3.07,5
White,Male,38.0,2.1,3.04,6
White,Female,36.0,4.0,2.93,7
White,Male,43.0,3.4,2.88,8
White,Female,39.0,4.0,2.88,9
White,Male,48.0,3.4,2.85,10
White,Male,39.0,3.5,2.85,11
White,Female,44.0,4.0,2.85,12
White,Male,47.0,3.0,2.85,13
White,Male,37.0,2.4,2.82,14
White,Female,33.0,2.8,2.79,15
White,Male,38.0,3.5,2.78,16
White,Male,36.0,3.0,2.76,17
White,Male,48.0,3.6,2.76,18
White,Male,45.0,2.3,2.76,19
White,Female,41.0,3.1,2.75,20
White,Female,34.0,4.0,2.73,21
White,Male,48.0,3.4,2.72,22
White,Male,46.0,2.2,2.72,23
White,Female,37.0,3.4,2.71,24
White,Female,43.0,3.3,2.7,25
White,Male,39.0,2.9,2.7,26
White,Female,46.0,3.4,2.69,27
White,Female,41.0,3.7,2.67,28
White,Male,47.0,3.4,2.67,29
White,Female,48.0,3.5,2.66,30
White,Male,44.0,3.5,2.65,31
White,Male,44.0,2.3,2.65,32
White,Male,46.0,3.7,2.64,33
White,Male,31.3,2.8,2.63,34
White,Female,39.0,3.6,2.62,35
White,Male,37.0,3.8,2.61,36
White,Male,46.0,3.2,2.61,37
White,Male,44.0,3.0,2.61,38
White,Female,42.0,3.9,2.6,39
White,Male,44.0,2.3,2.6,40
Black,Female,37.0,2.3,2.6,41
Black,Male,39.0,2.9,2.6,42
White,Male,43.0,3.0,2.59,43
Mexican,Male,47.0,3.9,2.59,44
White,Female,48.0,4.0,2.58,45
White,Male,41.0,2.5,2.58,46
White,Male,41.0,2.4,2.58,47
White,Male,35.0,3.0,2.58,48
White,Male,35.0,3.4,2.58,49
White,Female,34.0,3.5,2.56,50
White,Female,46.0,3.0,2.55,51
White,Female,39.0,3.7,2.55,52
White,Male,40.0,3.1,2.54,53
White,Female,38.0,3.5,2.54,54
White,Male,34.0,3.1,2.53,55
White,Female,37.0,3.7,2.53,56
White,Male,44.0,3.7,2.52,57
White,Female,33.0,3.8,2.52,58
White,Male,40.0,4.0,2.51,59
White,Male,44.0,3.6,2.5,60
White,Male,43.0,3.7,2.5,61
White,Female,42.0,3.5,2.5,62
White,Female,41.0,3.9,2.49,63
White,Male,39.0,2.8,2.49,64
White,Male,40.0,3.9,2.48,65
White,Male,38.0,2.8,2.48,66
White,Female,31.0,3.2,2.48,67
White,Male,37.0,3.5,2.48,68
White,Male,39.0,3.3,2.47,69
White,Male,40.0,3.8,2.47,70
White,Male,47.0,3.4,2.46,71
White,Male,37.0,3.5,2.46,72
White,Male,31.0,3.7,2.45,73
White,Female,43.0,3.6,2.45,74
White,Female,34.0,3.3,2.45,75
White,Female,41.0,3.3,2.45,76
White,Female,41.0,4.0,2.44,77
White,Female,37.0,4.0,2.44,78
White,Male,37.0,3.1,2.44,79
White,Female,40.0,3.8,2.44,80
White,Female,35.0,2.6,2.43,81
White,Female,40.0,3.5,2.43,82
White,Male,43.0,3.7,2.43,83
White,Male,39.0,3.9,2.43,84
White,Female,48.0,3.7,2.42,85
White,Male,34.0,3.0,2.42,86
White,Female,48.0,3.6,2.42,87
White,Female,36.0,3.3,2.42,88
White,Male,42.0,3.5,2.42,89
White,Female,38.0,3.9,2.41,90
Asian,Female,48.0,3.5,2.41,91
White,Male,42.0,3.7,2.4,92
White,Male,35.0,2.6,2.4,93
White,Female,48.0,3.4,2.4,94
White,Female,41.0,3.3,2.39,95
White,Male,33.0,3.6,2.39,96
White,Male,47.0,3.7,2.39,97
White,Male,36.5,3.0,2.39,98
White,Female,41.0,3.9,2.39,99
White,Male,42.0,3.1,2.39,100
White,Female,37.0,3.7,2.39,101
White,Male,42.0,3.9,2.39,102
White,Female,34.0,3.7,2.39,103
White,Male,45.0,3.1,2.39,104
White,Male,39.0,3.4,2.39,105
White,Male,39.0,3.8,2.39,106
White,Male,36.0,3.7,2.38,107
White,Female,40.0,3.6,2.38,108
White,Male,38.0,3.1,2.38,109
White,Female,39.0,3.6,2.38,110
White,Male,38.0,2.9,2.37,111
White,Female,33.0,3.4,2.37,112
White,Male,41.0,3.6,2.37,113
White,Male,47.0,3.7,2.37,114
White,Male,42.0,3.5,2.37,115
White,Male,28.0,3.9,2.37,116
White,Male,42.0,3.0,2.36,117
White,Male,39.0,3.5,2.36,118
White,Female,38.0,3.5,2.36,119
White,Female,35.0,2.8,2.36,120
White,Female,47.0,3.7,2.36,121
White,Female,38.0,3.0,2.35,122
White,Male,42.5,3.2,2.35,123
White,Female,40.0,3.5,2.34,124
White,Female,38.0,3.6,2.34,125
White,Female,41.0,4.0,2.34,126
White,Male,39.0,3.5,2.34,127
White,Female,41.0,3.6,2.34,128
White,Male,38.0,3.4,2.34,129
Other,Male,42.5,3.7,2.34,130
White,Male,44.0,3.2,2.33,131
White,Female,40.0,3.7,2.33,132
White,Female,45.0,3.6,2.33,133
White,Female,37.0,3.5,2.33,134
White,Female,36.0,3.8,2.33,135
White,Female,37.0,4.0,2.33,136
White,Female,41.0,3.7,2.32,137
White,Male,33.5,2.7,2.32,138
White,Male,43.0,3.5,2.32,139
White,Male,43.0,4.0,2.32,140
White,Female,34.0,3.9,2.32,141
Other,Female,43.0,3.5,2.32,142
White,Female,44.0,3.6,2.32,143
White,Male,32.0,2.3,2.32,144
White,Female,39.0,3.0,2.32,145
White,Female,46.0,3.9,2.32,146
White,Male,42.0,3.9,2.31,147
White,Female,43.0,4.0,2.3,148
White,Male,33.0,2.9,2.3,149
White,Male,41.0,4.0,2.3,150
White,Male,39.0,3.5,2.3,151
White,Female,33.0,3.0,2.3,152
White,Female,37.0,3.5,2.29,153
Hispanic,Male,38.0,3.5,2.29,154
White,Female,37.0,2.5,2.29,155
Other,Female,40.0,3.0,2.29,156
White,Male,33.0,3.2,2.29,157
White,Male,35.5,2.5,2.29,158
White,Male,42.0,2.8,2.28,159
White,Female,43.0,3.4,2.28,160
White,Female,37.0,3.4,2.28,161
White,Male,37.0,3.0,2.28,162
White,Male,48.0,3.9,2.28,163
Hispanic,Female,33.0,2.5,2.28,164
White,Male,40.0,3.7,2.27,165
White,Male,37.0,3.4,2.27,166
White,Male,39.0,3.2,2.27,167
Hispanic,Female,40.0,3.7,2.26,168
White,Male,44.0,3.7,2.26,169
White,Male,32.5,3.1,2.26,170
White,Male,38.0,3.6,2.26,171
White,Female,41.0,3.9,2.26,172
White,Female,37.0,3.8,2.26,173
White,Male,39.0,2.7,2.26,174
White,Female,35.5,3.3,2.26,175
White,Female,35.5,2.3,2.26,176
Puertorican,Female,38.0,3.2,2.25,177
White,Female,32.0,3.5,2.25,178
White,Female,40.0,3.8,2.25,179
Asian,Female,40.0,3.5,2.25,180
White,Female,41.0,3.1,2.24,181
White,Male,40.0,3.3,2.24,182
White,Female,38.0,3.7,2.24,183
White,Female,44.0,3.4,2.24,184
White,Male,47.0,3.1,2.24,185
White,Male,39.5,3.2,2.24,186
White,Female,40.0,3.0,2.24,187
White,Female,46.0,3.9,2.24,188
White,Female,39.0,3.4,2.24,189
White,Male,38.0,2.6,2.24,190
White,Male,33.0,3.6,2.23,191
White,Female,47.0,3.7,2.23,192
White,Male,33.0,3.1,2.23,193
White,Female,34.0,3.7,2.23,194
White,Male,40.0,3.2,2.23,195
White,Female,47.0,3.2,2.23,196
Black,Female,28.0,3.1,2.23,197
White,Male,40.0,4.0,2.23,198
White,Female,45.0,3.1,2.23,199
White,Female,42.0,3.8,2.23,200
White,Female,44.0,3.9,2.22,201
White,Male,44.0,3.8,2.22,202
White,Male,42.0,3.5,2.22,203
White,Male,37.0,2.7,2.22,204
White,Female,40.0,3.2,2.22,205
White,Female,40.0,3.9,2.22,206
White,Male,45.0,3.5,2.22,207
White,Male,39.0,2.5,2.22,208
Hispanic,Female,37.0,3.9,2.22,209
White,Male,48.0,2.9,2.22,210
White,Female,44.0,3.3,2.22,211
White,Male,36.0,3.4,2.21,212
White,Female,36.0,4.1,2.21,213
White,Female,43.0,3.2,2.21,214
White,Female,44.0,3.4,2.21,215
White,Female,37.0,3.6,2.21,216
White,Male,46.0,3.8,2.21,217
White,Female,27.5,3.6,2.21,218
White,Female,40.0,3.9,2.21,219
White,Male,43.0,3.3,2.21,220
White,Female,46.0,3.7,2.2,221
White,Male,42.0,3.7,2.2,222
White,Male,37.0,2.8,2.19,223
White,Male,43.0,3.7,2.19,224
White,Female,45.0,3.5,2.19,225
White,Male,41.0,3.6,2.19,226
White,Male,48.0,3.7,2.18,227
White,Female,42.0,3.9,2.18,228
White,Male,42.0,3.2,2.18,229
White,Male,47.0,3.3,2.18,230
White,Male,44.0,3.9,2.18,231
White,Male,42.5,3.0,2.18,232
White,Male,46.0,3.9,2.18,233
White,Female,46.0,3.7,2.18,234
White,Male,48.0,3.3,2.18,235
White,Female,43.0,4.0,2.18,236
White,Female,39.0,3.7,2.18,237
White,Female,39.0,3.9,2.18,238
White,Male,44.0,3.6,2.18,239
White,Male,35.0,2.9,2.18,240
White,Male,41.0,2.4,2.18,241
White,Male,33.5,3.3,2.18,242
White,Male,37.0,3.1,2.18,243
White,Male,34.0,3.6,2.18,244
White,Female,41.0,3.0,2.18,245
White,Male,43.0,4.0,2.17,246
White,Male,41.0,3.4,2.17,247
White,Male,40.0,3.5,2.17,248
White,Male,43.0,4.0,2.17,249
White,Male,37.0,3.7,2.17,250
White,Male,33.0,2.1,2.17,251
White,Male,35.0,3.3,2.16,252
White,Male,38.0,2.4,2.16,253
White,Male,38.0,3.4,2.16,254
White,Female,44.0,3.8,2.16,255
White,Male,35.5,3.8,2.16,256
White,Female,29.0,3.7,2.16,257
White,Male,36.0,3.1,2.16,258
White,Male,38.0,3.3,2.16,259
White,Male,41.0,2.7,2.15,260
Hispanic,Female,42.0,3.1,2.15,261
White,Male,33.0,3.3,2.15,262
White,Female,42.0,3.9,2.15,263
