,age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,class,predicted
0,<= 31,Private,Dropout,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<= 40,0,0
1,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,0,0
2,<= 31,Local-gov,Associates,Married,Other,Husband,White,Male,0,0,<= 40,1,0
3,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,Black,Male,High,0,<= 40,1,1
4,(31 - 44],Private,Dropout,Never-Married,Service,Not-in-family,White,Male,0,0,<= 40,0,0
5,> 44,Self-emp-not-inc,Prof-School,Married,Professional,Husband,White,Male,Low,0,<= 40,1,1
6,<= 31,Private,High School grad,Never-Married,Service,Unmarried,White,Female,0,0,<= 40,0,0
7,> 44,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
8,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,<= 40,1,1
9,(31 - 44],Federal-gov,Bachelors,Married,Admin,Husband,White,Male,0,0,<= 40,0,0
10,<= 31,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,<= 40,0,0
11,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,> 40,1,1
12,(31 - 44],Private,Masters,Married,White-Collar,Husband,White,Male,0,0,> 40,1,1
13,<= 31,State-gov,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<= 40,0,0
14,(31 - 44],Private,High School grad,Married,Admin,Wife,White,Female,0,0,<= 40,0,1
15,(31 - 44],Private,High School grad,Widowed,Blue-Collar,Unmarried,White,Female,0,0,<= 40,0,0
16,(31 - 44],Private,Bachelors,Married,Other,Husband,White,Male,0,0,> 40,1,1
17,(31 - 44],Private,High School grad,Never-Married,Service,Own-child,Black,Female,0,0,<= 40,0,0
18,<= 31,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,> 40,0,0
19,<= 31,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,<= 40,0,0
20,> 44,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,> 40,1,1
21,<= 31,Private,High School grad,Never-Married,Admin,Own-child,White,Male,0,0,<= 40,0,0
