,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,class,predicted
0,> 45,admin.,married,secondary,no,> 1158,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
1,> 45,admin.,married,secondary,no,<= 235,no,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
2,(34 - 45],technician,married,secondary,no,> 1158,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
3,> 45,services,married,secondary,no,> 1158,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
4,> 45,admin.,married,tertiary,no,<= 235,no,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
5,(34 - 45],management,single,tertiary,no,<= 235,yes,yes,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
6,> 45,management,married,tertiary,no,(235 - 1158],yes,yes,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
7,> 45,retired,divorced,secondary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
8,(34 - 45],technician,married,secondary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
9,<= 34,services,single,secondary,no,> 1158,yes,no,unknown,<= 11,may,> 2,-1,0,unknown,1,0
10,(34 - 45],admin.,single,secondary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
11,<= 34,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
12,<= 34,management,married,tertiary,no,<= 235,yes,yes,unknown,<= 11,may,> 2,-1,0,unknown,1,0
13,> 45,blue-collar,single,tertiary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
14,<= 34,technician,single,tertiary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
15,(34 - 45],management,divorced,tertiary,no,> 1158,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
16,<= 34,blue-collar,single,primary,no,(235 - 1158],yes,no,unknown,<= 11,may,> 2,-1,0,unknown,1,0
17,> 45,services,married,secondary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
18,(34 - 45],admin.,married,secondary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
19,> 45,admin.,divorced,secondary,no,<= 235,yes,yes,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
20,<= 34,admin.,divorced,secondary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
21,(34 - 45],management,single,tertiary,no,> 1158,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
22,(34 - 45],management,divorced,tertiary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
23,(34 - 45],blue-collar,married,primary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
24,(34 - 45],unemployed,single,secondary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
25,(34 - 45],blue-collar,single,secondary,no,<= 235,yes,no,unknown,<= 11,may,> 2,-1,0,unknown,1,0
26,<= 34,technician,single,tertiary,no,<= 235,yes,no,unknown,<= 11,may,> 2,-1,0,unknown,1,0
27,(34 - 45],blue-collar,single,secondary,no,<= 235,yes,no,unknown,<= 11,may,> 2,-1,0,unknown,1,0
28,<= 34,admin.,married,secondary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
29,<= 34,blue-collar,single,secondary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
30,<= 34,blue-collar,married,secondary,yes,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
31,> 45,technician,married,primary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
32,<= 34,blue-collar,single,secondary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
33,(34 - 45],blue-collar,married,secondary,no,<= 235,yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
34,<= 34,blue-collar,divorced,primary,no,(235 - 1158],yes,no,unknown,<= 11,may,<= 2,-1,0,unknown,1,0
35,<= 34,management,single,tertiary,no,(235 - 1158],no,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
36,(34 - 45],blue-collar,married,primary,no,(235 - 1158],no,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
37,<= 34,management,divorced,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
38,(34 - 45],management,married,tertiary,no,<= 235,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
39,<= 34,entrepreneur,single,primary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
40,> 45,blue-collar,married,primary,no,> 1158,yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
41,> 45,management,married,tertiary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
42,(34 - 45],entrepreneur,divorced,tertiary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
43,(34 - 45],blue-collar,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
44,> 45,management,married,unknown,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
45,(34 - 45],blue-collar,divorced,primary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
46,(34 - 45],technician,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
47,> 45,housemaid,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
48,> 45,technician,divorced,primary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
49,> 45,blue-collar,divorced,primary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
50,(34 - 45],blue-collar,single,primary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
51,(34 - 45],management,divorced,tertiary,no,(235 - 1158],yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
52,> 45,retired,married,secondary,no,> 1158,yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
53,(34 - 45],blue-collar,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
54,> 45,blue-collar,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
55,(34 - 45],admin.,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
56,> 45,blue-collar,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
57,> 45,retired,married,primary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
58,(34 - 45],technician,single,unknown,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
59,> 45,technician,married,tertiary,no,<= 235,no,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
60,> 45,blue-collar,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
61,(34 - 45],blue-collar,divorced,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
62,(34 - 45],blue-collar,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
63,> 45,blue-collar,divorced,primary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
64,> 45,blue-collar,married,primary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
65,(34 - 45],blue-collar,married,unknown,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
66,> 45,unknown,married,primary,no,(235 - 1158],yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
67,(34 - 45],services,married,primary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
68,(34 - 45],admin.,married,primary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
69,(34 - 45],technician,married,tertiary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
