,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,sex,civil_status,class,predicted
0,'<0',<= 12,'critical/other existing credit',radio/tv,<= 1554,'no known savings','>=7',4,none,4,'real estate',> 38,none,own,2,skilled,1,yes,yes,male,single,1,1
1,'0<=X<200',> 24,'existing paid',radio/tv,> 3368,'<100','1<=X<4',2,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
2,'no checking',<= 12,'critical/other existing credit',education,(1554 - 3368],'<100','4<=X<7',2,none,3,'real estate',> 38,none,own,1,'unskilled resident',2,none,yes,male,single,1,1
3,'<0',> 24,'existing paid',furniture/equipment,> 3368,'<100','4<=X<7',2,guarantor,4,'life insurance',> 38,none,'for free',1,skilled,2,none,yes,male,single,1,0
4,'<0',(12 - 24],'delayed previously','new car',> 3368,'<100','1<=X<4',3,none,4,'no known property',> 38,none,'for free',2,skilled,2,none,yes,male,single,0,1
5,'no checking',> 24,'existing paid',education,> 3368,'no known savings','1<=X<4',2,none,4,'no known property',(28 - 38],none,'for free',1,'unskilled resident',2,yes,yes,male,single,1,1
6,'no checking',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'500<=X<1000','>=7',3,none,4,'life insurance',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
7,'0<=X<200',> 24,'existing paid','used car',> 3368,'<100','1<=X<4',2,none,2,car,(28 - 38],none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
8,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'>=1000','4<=X<7',2,none,4,'real estate',> 38,none,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
9,'0<=X<200',> 24,'critical/other existing credit','new car',> 3368,'<100',unemployed,4,none,2,car,<= 28,none,own,2,'high qualif/self emp/mgmt',1,none,yes,male,married/wid/sep,0,0
10,'0<=X<200',<= 12,'existing paid','new car',<= 1554,'<100','<1',3,none,1,car,<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,0
11,'<0',> 24,'existing paid',business,> 3368,'<100','<1',3,none,4,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,0
